identifier,smiles
CNP0443620.1,CN[C@]1(O)CCO[C@H]2C[C@](O)(C(=O)O)[C@H](CC3=CC=CC=C3)[C@@H](OC(=O)CC(=O)C3=CC=C(O)C(O)=C3)[C@@]21OC(=O)C=CC1=CC=C(O)C(O)=C1
CNP0446866.1,C=C(CC[C@@H](O)[C@H]1C[C@@H](O)[C@@H](O)[C@H]([C@@H](O)[C@H](O)/C=C(\C)CC[C@H](O)C[C@H](O)[C@H](O)[C@@H](C)C[C@H](O)C(O)CC(C)CC/C=C/CC(CO)OS(=O)(=O)[O-])O1)[C@@H](O)[C@@H](O)[C@H]1C[C@@H](O)[C@@H](O)[C@H]([C@@H](O)[C@H](O)/C=C/CC/C=C/C=C/C=C/CCC(O)CO)O1.[Na+]
CNP0450806.2,C=CCC/C=C/C=C/C=C/CC/C=C/[C@H](O)[C@@H](O)[C@H]1O[C@@H]([C@@H](O)[C@@H](O)C(=C)CC[C@@H](O)[C@H]2C[C@@H](O)[C@H](O)[C@@H]([C@@H](O)[C@@H](O)/C=C(\C)CC[C@@H](O)C[C@@H](O)[C@@H](O)[C@H](C)[C@H](O)[C@H](O)C/C=C/C[C@@H](O)/C=C/CCCCCOS(=O)(=O)O)O2)C[C@@H](O)[C@@H]1O
CNP0450806.3,C=CCC/C=C/C=C/C=C/CC/C=C/[C@@H](O)[C@H](O)[C@@H]1O[C@@H]([C@H](O)[C@@H](O)C(=C)CC[C@@H](O)[C@H]2C[C@@H](O)[C@@H](O)[C@H]([C@@H](O)[C@H](O)/C=C(\C)CC[C@H](O)C[C@H](O)[C@H](O)[C@H](C)[C@H](O)[C@H](O)C/C=C/C[C@@H](O)/C=C/CCCCCOS(=O)(=O)O)O2)C[C@@H](O)[C@H]1O
CNP0461995.0,C=CCCC=CC=CC=CCCC=CC(O)C(O)C1OC(C(O)C(O)C(=C)CCC(O)C2CC(O)C(O)C(C(O)C(O)C=C(C)CCC(O)CC(O)C(O)C(C)CC(O)C(O)CCCC(O)CCCC(O)CCCC(O)C=CCC(O)C=CCC(O)CO)O2)CC(O)C1O
CNP0462347.2,CC1=NC(C2=CC=CO2)=CC([C@@H]2C[N@@]3CC[C@H]2C[C@@H]3CNC(=O)CCCC(=O)O)=N1
CNP0465434.0,C=CC=CCCC=CC=CC=CCCC=CC(O)C(O)C1OC(C(O)C(O)C(=C)CCC(O)C2CC(O)C(O)C(C(O)C(O)C=C(C)CCC(O)CC(O)C(O)C(C)CC(O)C(O)CCCC(O)CCCC(O)CCCC(O)C=CCC(O)C=CCC(O)CO)O2)CC(O)C1O
CNP0465836.2,C=CCC/C=C/C=C/C=C/CC/C=C/[C@@H](O)[C@H](O)[C@@H]1O[C@@H]([C@H](O)[C@H](O)C(=C)CC[C@@H](O)[C@H]2C[C@@H](O)[C@@H](O)[C@H]([C@@H](O)[C@H](O)/C=C(\C)CC[C@H](O)C[C@H](O)[C@H](O)[C@@H](C)C[C@H](O)[C@@H](O)C[C@H](C)CC/C=C/C[C@H](CO)OS(=O)(=O)O)O2)C[C@@H](O)[C@H]1O
CNP0481438.1,COC1=CC([C@@H]2[C@H](CC3=CC=CC=C3)C#C[C@@H]3CN[C@@H]4C[C@@H]5C6=C7C=C8CC9=CC%10=C(C=C[C@@H]%11C[C@H]2C(=O)[C@@H]([C@H](O)[C@H]3C42C3=CC(O)=C(O)C=C3[C@@H]3C[C@@H]2[C@]52C[C@@]34CCC[C@@H]4C=C2[C@H]7C[C@@H]8O)[C@H]%10%11)C(=C9)C[C@@H](C(C)=O)CC#C6)=C(CO)C=C1O
CNP0485458.0,CC1=C2CC(CC1C1(C3C(C)=C4CC(C3O)C4(C)C)CC3CC(=C1C)C3(C)C)C2(C)C
